home;categorias;subcategoria;Segmento;nombre producto;código:;Descripción Breve:;Color:;ruta imagen
megafiestasyumbo.com/;rimax/;Armarios/;Grandes/;Armario Gde Liviano Home;10784-rx;3 Entrepaños regulables. Fácil de armar. Máximo almacenamiento en un espacio optimizado. 4 Entrepaños. Entrepaños Ajustables. Cada Entrepaños resiste hasta 18 Kg. Excelente Capación Interior. 3 años de garantía con RIMAX.;Mocca;Armario-Gde-Liviano-Home-10784-rx.webp
megafiestasyumbo.com/;rimax/;Armarios/;Grandes/;Armario Grande Baru Con Caja Organizadora 180Mm;6252-rx;Manijas verticales. Mejor agarre y diseño. 4 Entrepaños regulables. Resiste hasta 25 kg por entrepaño. Fácil de mover. Fácil de armar. 3 años de garantía con RIMAX.;Taupe;Armario-Grande-Baru-Con-Caja-Organizadora-180Mm-6252-rx.webp
megafiestasyumbo.com/;rimax/;Armarios/;Medianos/;Armario Mediano Liviano Home;13215-rx;Fácil de armar. 1 Entrepaño. El Entrepaño resiste hasta 18 Kg. Excelente Capación Interior. Diseño ligero para fácil movilidad y reubicación. Amplio espacio de almacenamiento. Fabricado con materiales duraderos y de calidad. Estilo moderno que se integra con cualquier decoración. 3 años de garantía con RIMAX.;Almendra;Armario-Mediano-Liviano-Home-13215-rx.webp
megafiestasyumbo.com/;rimax/;Armarios/;Medianos/;Armario Mediano Barú;9290-rx;Armario Mediano con 2 entrepaños ajustables que resisten hasta 25 Kg cada uno. Fácil de armar, mover y limpiar. Con la resistencia y beneficios del plástico. Excelente capacidad interior, con orificio para uso de candado para mayor seguridad. De apariencia moderna y elegante. Ideal para interiores y exteriores. Beneficios: Manijas verticales. Mejor agarre y diseño. 2 Entrepaños regulables. Resiste hasta 25 kg por entrepaño. Fácil de mover. Fácil de armar. 3 años de garantía con RIMAX.;Taupe;Armario-Mediano-Barú-9290-rx.webp
megafiestasyumbo.com/;rimax/;Armarios/;Medianos/;Armario Mediano Apariencia Rattan;10367-rx;Armario Mediano con textura Rattan, con 2 entrepaños ajustables que resisten hasta 25 Kg cada uno. Fácil de armar, mover y limpiar. Con la resistencia y beneficios del plástico. Excelente capacidad interior, con orificio para uso de candado para mayor seguridad. Apariencia artesanal. 3 años de garatía con RIMAX.;Taupe;Armario-Mediano-Apariencia-Rattan-10367-rx.webp
megafiestasyumbo.com/;rimax/;Armarios/;Infantiles/;Armario Infantil;13990-rx;"Armario Infantil Rimax , Ideal para organizar ropa, juguetes y accesorios, con diseño colorido, seguro, resistente y fácil de mover.
Medidas: 65 cm ancho × 45 cm profundidad × 94 cm alto. Garantía: 3 años con Rimax.";Tricolor;Armario-Infantil-13990-rx.webp
megafiestasyumbo.com/;rimax/;Armarios/;Multiusos/;Armario multiusos baru;6254-rx;Armario Multiusos Rimax con 3 entrepaños ajustables, cada uno con capacidad de hasta 25 kg, y división central para organizar productos y elementos del hogar. Fácil de armar, mover y limpiar, fabricado en plástico resistente para uso en interiores y exteriores. Medidas: 65 cm de ancho × 45 cm de profundidad × 189 cm de alto, con orificio para candado y manijas verticales para mayor seguridad y comodidad. Garantía de 3 años con Rimax;gris;Armario-multiusos-baru-6254-rx.webp
megafiestasyumbo.com/;rimax/;Mesas/;Auxiliares/;Mesa plegable redonda baru;12959-rx;Mesa auxiliar Rimax con diseño imitación madera, ideal para complementar la Silla Playera Barú y aprovechar espacios como balcones, interiores y exteriores. Superficie amplia de 60,7 × 60,7 cm, fácil de armar sin herramientas, plegar, guardar y limpiar. Fabricada en material 100% reciclable, con diseño elegante y acogedor. Garantía de 3 años con Rimax.;mocca;mesa-plegable-redonda-baru-12959-rx.webp
megafiestasyumbo.com/;rimax/;Mesas/;Auxiliares/;Mesa de centro rectangular baru;12678-rx;Mesa de centro exterior Rimax Barú, ideal para interiores y exteriores, con diseño elegante de imitación madera. Fácil de armar sin herramientas, plegar, guardar y limpiar, fabricada en material 100% reciclable. Medidas: 65 cm de ancho × 50 cm de profundidad × 44,5 cm de alto. Garantía de 3 años con Rimax.;gris hielo;mesa-de-centro-rectangular-baru-12678-rx.webp
megafiestasyumbo.com/;rimax/;Mesas/;Auxiliares/;Mesa de centro;7797-rx;Mesa de centro Rimax rectangular, ideal para sala, jardín o balcón, con sobre texturado que ayuda a evitar que los objetos se deslicen. Fabricada en plástico resistente, liviano y fácil de limpiar. Medidas: 67,6 cm de ancho × 54 cm de profundidad × 42,5 cm de alto. Garantía de 3 años con Rimax.;wengue;mesa-de-centro-7797-rx.webp
